BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE
200601,2,1557,200601,2,1559,203302,5486511,KENTUCKY,21,2006,January  ,Tornado,C,1,ADAIR,LMK,2006-01-02 15:57:00,EST,2006-01-02 15:59:00,0,0,0,0,75K,,NWS STORM SURVEY,,,F1,0.5,100.0,0.0,SE,PELLYTON,1.0,NE,PELLYTON,37.22,-85.08,37.22,-85.08,"The first tornado touched down near Columbia. It destroyed a mobile home and removed the roof from a house. Other homes and mobile homes were damaged. The tornado lifted and the parent cell travelled into northeast Adair County. The second tornado touched down in the Pellyton area, about 13 miles to the northeast of the first touchdown. Several homes and barns in the area were damaged before the tornado lifted again.",
200601,2,1634,200601,2,1648,203300,5486508,KENTUCKY,21,2006,January  ,Tornado,C,137,LINCOLN,LMK,2006-01-02 16:34:00,EST,2006-01-02 16:48:00,2,0,0,0,350K,,NWS STORM SURVEY,,,F2,8.7,200.0,3.0,S,MC KINNEY,1.0,S,MAYWOOD,37.4,-84.77,37.47,-84.62,"Two people were injured as an F2 tornado swept through western and central Lincoln County. A man received minor injures when a barn he was in collapsed around him. An elderly woman was hospitalized with a broken collar bone and nose. She had been sucked out of her mobile home by strong winds when she tried to open her front door. In all, eight mobile homes were destroyed, with most of the damage being concentrated south of the McKinney area. At one location, the storm survey team found that the tornado had embedded two by six boards firmly into the ground.",
200601,2,1645,200601,2,1656,203974,5492215,GEORGIA,13,2006,January  ,Tornado,C,121,FULTON,FFC,2006-01-02 16:45:00,EST,2006-01-02 16:56:00,0,0,0,0,250K,,NWS STORM SURVEY,,,F2,4.0,440.0,1.0,ENE,PALMETTO,5.0,E,PALMETTO,33.52,-84.67,33.52,-84.58,,"A damage survey team from the National Weather Service in Peachtree City concluded that an F2 tornado had touched down just east of Palmetto in the far southern portion of Fulton county near the Coweta and Fayette county borders.  The tornado touched down near Interstate-85 and U.S. Highway 29 east of Palmetto and then traveled east into extreme northwest Fayette county.  The tornado was rated an F2 and traveled a path of seven miles, of which approximately four miles occurred within Fulton county.  The maximum path width was 1/4 mile wide.  Roof damage was observed to a number of homes along the path of the tornado.  At least six homes east of Palmetto had sustained major damage with large trees down on the structures.  Additionally, a number of trees were down along the path along with several power lines.  Specifically, the tornado began around 8225 Tatum Road.  Numerous trees were down in this area and several homes had sustained roof damage.  The chimney was destroyed on one home.  The tornado then continued across the intersection of Johnson and Tatum Road to Gullatt Road.  Several homes in this area had sustained roof damage and in fact, one home had completely lost its roof.  Numerous trees were either uprooted or snapped off along the path and several power lines were down as well.  From this point, the tornado traveled toward the intersection of Bohannon and Kirkley Roads.  Damage in this section was less extensive with just minor roof damage and only a few trees uprooted or down in the area.  The tornado then crossed into Fayette county."
200601,2,1656,200601,2,1702,203974,5492302,GEORGIA,13,2006,January  ,Tornado,C,113,FAYETTE,FFC,2006-01-02 16:56:00,EST,2006-01-02 17:02:00,0,0,0,0,2M,,NWS STORM SURVEY,,,F2,3.0,440.0,4.0,WNW,LEES MILL,1.0,W,LEES MILL,33.52,-84.6,33.48,-84.55,,"A damage survey conducted by the National Weather Service in Peachtree City Georgia and the Fayette County Emergency Management Director concluded that the F2 tornado, which originally developed in far south Fulton county just east of Palmetto continued into extreme northwest Fayette county.  The overall tornado path length was seven miles, of which approximately three miles occurred within Fayette county.  The maximum path width was 1/4 mile.  The most significant damage associated with the tornado occurred in Fayette county.  The tornado entered the county just south of Fairburn and just west of Georgia Highway 74 (Senoia Road) near Milam Road.  In this area the tornado destroyed a small apartment home and rolled a hay baler approximately 15 yards from its origin.  A number of trees were uprooted or snapped off in this area as well.  The storm then skipped across Georgia Highway 74 just south of the Wendell Coffee Golf Center into the River Oaks Subdivision.  A home on Westbourne Drive next to the Golf Center was damaged with trees down on the structure.  A metal awning was also torn off the home.  Further down the street, also in the River Oaks Subdivision, a large home was damaged beyond repair and about six others sustained minor to moderate damage, mainly to the roofs of the structures.  While one family was trapped in their home during the event, they were rescued without injury.  The tornado ended in the 600 block of Westbourne Drive in the River Oaks Subdivision."
200601,2,1712,200601,2,1718,203974,5492306,GEORGIA,13,2006,January  ,Tornado,C,231,PIKE,FFC,2006-01-02 17:12:00,EST,2006-01-02 17:18:00,3,0,0,0,750K,,NWS STORM SURVEY,,,F3,3.0,440.0,1.0,SE,HOLLONVILLE,4.0,ESE,HOLLONVILLE,33.15,-84.45,33.15,-84.4,,"A damage survey conducted by the National Weather Service and confirmed by Emergency Managers from both Pike and Meriwether counties concluded that an F3 tornado touched down one mile southeast of Hollonville in northwest Pike county and traveled east for approximately 3 miles, terminating at a point about 4 miles east-southeast of Hollonville in north central Pike county.  Five homes along the path were extensively damaged or destroyed.  One home was moved 60 feet from its foundation.  Two vehicles were thrown 250 yards.  Several farm structures were also damaged in the area.  A number of trees and power lines were also down in the area.  Three injuries were reported during the event.  Two men that were working in a barn were injured when the tornado blew the barn away.  A third man was injured while clinging to a fence post that the tornado ripped from the ground.  The tornado had an overall path length of 3 miles with a path width of 1/4 mile.  One interesting note is that family photographs from one of the homes destroyed near Hollonville were found as far away as Williamson, near the Spalding county line."
200601,2,1744,200601,2,1745,203974,5492404,GEORGIA,13,2006,January  ,Tornado,C,171,LAMAR,FFC,2006-01-02 17:44:00,EST,2006-01-02 17:45:00,0,0,0,0,2K,,NWS STORM SURVEY,,,F0,0.2,50.0,3.0,SW,CHAPPEL,3.0,SW,CHAPPEL,33.15,-84.13,33.15,-84.13,,"A damage survey conducted by the National Weather Service concluded that a brief F0 tornado had touched down about three miles southwest of Chappel or six miles north-northeast of Barnesville and traveled on the ground eastward for an approximate distance of 300 yards or 0.2 mile.  The tornado path width was 50 yards.  A number of trees were snapped or toppled along the path, but no damage to structures was reported.  This tornado was produced from the same supercell thunderstorm that had earlier spawned an F3 tornado in Pike county."
200601,2,1748,200601,2,1749,203974,5492401,GEORGIA,13,2006,January  ,Tornado,C,151,HENRY,FFC,2006-01-02 17:48:00,EST,2006-01-02 17:49:00,0,0,0,0,500K,,NWS STORM SURVEY,,,F1,0.6,300.0,3.0,N,MC DONOUGH,3.0,NNE,MC DONOUGH,33.48,-84.15,33.48,-84.13,,"A damage survey conducted by the National Weather Service and information provided by the Henry County Emergency Management Director concluded that an F1 tornado had touched down three miles north of McDonough on Turner Circle Road and traveled approximately 1000 yards or about 0.6 mile to the east.  The tornado had a path width of 300 yards at its maximum point.  Damage was reported to several homes on Waterford Lane in the Vineyards Subdivision, which is located near the intersection of Jodeco Road and Georgia HIghway 42.  At least eight trees were down on one home on Turner Circle and a small storage building was destroyed.  The home suffered considerable damage on one side.  Several structures being used as a religious retreat or campground were also heavily damaged.  A motel in the area also suffered damage to a sign and the portico.  In addition, numerous trees were either uprooted or snapped off along the path of the tornado."
200601,2,1835,200601,2,1840,203974,5492520,GEORGIA,13,2006,January  ,Tornado,C,169,JONES,FFC,2006-01-02 18:35:00,EST,2006-01-02 18:40:00,0,0,0,0,150K,,NWS STORM SURVEY,,,F1,3.0,300.0,,,WAYSIDE,,,BRADLEY,33.07,-83.62,33.05,-83.57,,"A storm survey conducted by the National Weather Service concluded that an F1 tornado had touched down near the town of Wayside and roughly paralleled Georgia Highway 11 from there to the town of Bradley.  The tornado had a path length of three miles with a path width of 300 yards at its maximum point.  Four buildings, including a barn and machine shop, were destroyed and a double wide mobile home sustained considerable damage.  At least six other mobile homes were severely damaged along the path of the tornado, two of which were on Wheeler Road near Bradley.  A number of trees were uprooted and snapped off along the path as well.  A large pine tree fell across and destroyed two vehicles on Wheeler Road."
200601,2,2022,200601,2,2031,203974,5492601,GEORGIA,13,2006,January  ,Tornado,C,167,JOHNSON,FFC,2006-01-02 20:22:00,EST,2006-01-02 20:31:00,0,0,0,0,250K,,NWS STORM SURVEY,,,F1,5.0,440.0,5.0,N,KITE,4.0,ENE,KITE,32.75,-82.52,32.7,-82.45,,"A damage survey conducted by the National Weather Service and the Johnson County Emergency Management Director concluded that an F1 tornado had touched down approximately five miles north of Kite near the intersection of U.S. Highway 221 and U.S. Highway 319 and traveled east-southeast to a point four miles east-northeast of Kite.  The tornado than continued into Emanuel county.  The damage path within Johnson county was approximately five miles long and 1/4 mile wide. Overall, the tornado traveled a 12 mile long path across Johnson and Emanuel counties.  Near the tornado's touchdown point, siding was blown off the Gum Log Church.  Then, six homes along the path of the tornado sustained damage from downed trees.  In addition, a couple of silos were destroyed and several vehicles were damaged."
200601,2,2031,200601,2,2040,203974,5492602,GEORGIA,13,2006,January  ,Tornado,C,107,EMANUEL,FFC,2006-01-02 20:31:00,EST,2006-01-02 20:40:00,0,0,0,0,50K,,NWS EMPLOYEE(OFF DUTY),,,F1,7.0,440.0,4.0,WSW,BLUNDALE,2.0,S,SUMMERTOWN,32.73,-82.45,32.72,-82.27,,"A damage survey conducted by the National Weather Service concluded that the tornado, which began in Johnson county northwest of Kite, continued on an east-southeastward track across northern Emanuel county.  The tornado entered the county four miles east-northeast or Kite or four miles west-southwest of Blundale and traveled a distance of approximately seven miles across the northern portion of the county, terminating approximately two miles south of Summertown.  The tornado path length within Emanuel county was seven miles while the path width was approximately 1/4 mile.  The overall path length of the tornado for Johnson and Emanuel counties combined was 12 miles.  A number of trees and power lines were down along the path of the tornado, especially along U.S. Highway 1 between the Johnson county line and Summertown.  One home also sustained damage in this area."
200601,2,2115,200601,2,2115,203325,5489244,GEORGIA,13,2006,January  ,Tornado,C,165,JENKINS,CHS,2006-01-02 21:15:00,EST,2006-01-02 21:15:00,0,0,0,0,50K,,NWS STORM SURVEY,,,F0,0.1,25.0,10.0,S,MILLEN,10.0,S,MILLEN,32.65,-81.93,32.65,-81.93,,"A tornado briefly touched down severely damaging a mobile home, causing minor damage to another mobile home, and knocking down trees."
200601,11,1720,200601,11,1725,203408,5487686,VIRGINIA,51,2006,January  ,Tornado,C,183,SUSSEX,AKQ,2006-01-11 17:20:00,EST,2006-01-11 17:25:00,0,0,0,0,20K,,NWS STORM SURVEY,,,F1,3.5,200.0,1.0,NE,BOOKER,4.0,NE,BOOKER,36.95,-77.27,36.97,-77.23,,F1 tornado caused intermittent minor roof damage to several residences in its path. A trailer was overturned which caused damage to a vehicle next to it. Pine tree limbs of up to a foot in diameter were  snapped off.
200601,11,1823,200601,11,1825,203408,5487687,VIRGINIA,51,2006,January  ,Tornado,C,95,JAMES CITY,AKQ,2006-01-11 18:23:00,EST,2006-01-11 18:25:00,2,0,0,0,20K,,NWS STORM SURVEY,,,F1,0.8,25.0,2.0,NW,JAMESTOWN,2.0,NW,JAMESTOWN,37.22,-764.13,37.22,-764.13,,F1 tornado caused intermittent damage at the Jamestown Beach Campground and Foxfield subdivision. One trailer and a pop-up camper were destroyed at the campground and caused minor injuries to two occupants. Two townhomes suffered minor roof and siding damage in the subdivision. Many trees were damaged along Jamestown Road.
200601,12,2229,200601,12,2247,203718,5486928,ARKANSAS,5,2006,January  ,Tornado,C,149,YELL,LZK,2006-01-12 22:29:00,CST,2006-01-12 22:47:00,0,0,0,0,,,NWS STORM SURVEY,,,F2,13.0,75.0,5.0,SW,CHICKALAH,2.0,SSE,DARDANELLE,35.12,-93.35,35.18,-93.13,,"A strong tornado touched down in northern Yell County, about 5 miles southwest of Chickalah.  Estimated winds with the tornado were around 140 mph.  A house was severely damaged.  An abandoned mobile home, used for storage, was badly damaged.  A few chicken houses had major damage, and a number of others had parts of the roofs taken off.  A travel trailer was overturned, with numerous sheds and outbuildings destroyed.  A number of power lines and power poles were blown down.  Hundreds of trees were either snapped off or uprooted.  A mobile home was also destroyed by fire, apparently due to a fallen power line.  The tornado tracked to the east-northeast for about 13 miles before moving into southern Pope County."
200601,12,2247,200601,12,2248,203719,5486929,ARKANSAS,5,2006,January  ,Tornado,C,115,POPE,LZK,2006-01-12 22:47:00,CST,2006-01-12 22:48:00,0,0,0,0,,,NWS STORM SURVEY,,,F2,1.7,75.0,5.0,S,RUSSELLVILLE,6.0,SSE,RUSSELLVILLE,35.18,-93.13,35.22,-93.1,,A strong tornado moved out of Yell County and into Pope County about 5.3 miles south of Russellville.  Winds were estimated around 140 mph.  The tornado downed a number of trees and power lines.  Several houses sustained roof damage.  The tornado dissipated roughly 5.5 miles south-southeast of Russellville.
200601,13,420,200601,13,424,203086,5488593,LOUISIANA,22,2006,January  ,Tornado,C,29,CONCORDIA,JAN,2006-01-13 04:20:00,CST,2006-01-13 04:24:00,1,0,0,0,450K,30K,NWS STORM SURVEY,,,F1,2.0,100.0,2.0,WSW,CLAYTON,,,CLAYTON,31.7,-91.58,31.72,-91.55,,"This tornado torn a portion of the roof off two buildings and pealed shingles off many more homes and buildings. In addition to the damaged structures, several trees were snapped and uprooted."
200601,13,1001,200601,13,1003,203738,5487738,ALABAMA,1,2006,January  ,Tornado,C,35,CONECUH,MOB,2006-01-13 10:01:00,CST,2006-01-13 10:03:00,0,0,1,0,500K,,EMERGENCY MANAGER,,,F1,1.0,880.0,,,BELLEVILLE,,,BELLEVILLE,31.43,-87.12,31.43,-87.12,,"An F1 tornado touched down along County Road 15, just south of the town of Belleville.  The tornado tracked north northeast crossing U. S. Highway 84 before dissipating just north of the highway.  Most of the damage was along both sides of U. S. Highway 84.  Three homes were destroyed,  and fifteen other structures  and eight vehicles were damaged.    Numerous power lines and trees were blown town along the track of the tornado.  The Belleville fire department station was destroyed.  Only one cinder block wall was left standing at the station.  One person was killed when a chimney in her home collapsed on top of her.  She had just got into the brick home and was putting her purse down when the chimney fell on top of her."
200601,13,1041,200601,13,1046,203740,5487740,FLORIDA,12,2006,January  ,Tornado,C,91,OKALOOSA,MOB,2006-01-13 10:41:00,CST,2006-01-13 10:46:00,13,0,0,0,2M,,EMERGENCY MANAGER,,,F0,4.0,50.0,,,BAKER,4.0,NE,BAKER,30.8,-86.7,30.83,-86.65,,A weak tornado touched down along State Highway 4 in Baker near the Post Office.  The tornado tracked northeast and tore part of the roof off the Baker School.  The winds from the storm funneled into part of the school and peeled sections of the roof off.  Kids inside quickly got underneath their desks.  Water from the rain fell into the classrooms and caused part of the ceiling to collapse.  Thirteen kids suffered minor injuries.   At least four classrooms at the school were damaged.   The weak tornado continued tracking northeast and damaged several more homes before lifting back into the clouds near Old River Road.
200601,13,1056,200601,13,1059,203741,5487741,FLORIDA,12,2006,January  ,Tornado,C,113,SANTA ROSA,MOB,2006-01-13 10:56:00,CST,2006-01-13 10:59:00,0,0,0,0,500K,,EMERGENCY MANAGER,,,F1,0.8,75.0,4.0,S,BERRYDALE,4.0,S,BERRYDALE,30.85,-87.02,30.85,-87.02,,"An F1 tornado touched down near the intersection of County Road 178 and State Highway 87.  Several manufactured homes were damaged where the tornado first touched down.  The tornado tracked northeast and crossed Highway 87 and caused only minor damage east of the highway.  Near Highway 87 a home had most of the roof torn off.  The roof of the home had reportedly been damaged, twice, by  high winds associated with hurricanes Ivan and Dennis over the past year and a half.  Both times the roof was repaired.  No injuries were reported."
200601,13,1220,200601,13,1233,203921,5491594,ALABAMA,1,2006,January  ,Tornado,C,5,BARBOUR,BMX,2006-01-13 12:20:00,CST,2006-01-13 12:33:00,1,0,0,0,250K,0,NWS STORM SURVEY,,,F0,8.5,100.0,8.0,N,CLAYTON,13.0,NE,CLAYTON,32.0,-85.45,32.02,-85.28,,"The tornado touched down at 12:20 PM CST in the Barbour County Wildlife Management Area, near the intersection of Charles Drive and County Road 49. It then moved northeastward and skirted County Road 49, then moved across a large wooded area and open pasture area. Several hundred trees were snapped off and uprooted near the beginning of the tornado damage path. As the tornado traveled northeast, a large warehouse at a family owned sod farm was completely destroyed. An office used by the sod farm was heavily damaged due to a large tree falling on it. The tornado crossed US 82 between the Comer community and the Batesville community. As the tornado crossed US 82, an automobile was tossed some 80 feet off the roadway. One male occupant of the car was injured and transported to the hospital.  The tornado traveled just over a mile past US 82 and snapped off several hundred more trees before lifting north of US 82 near Bear Creek at approximately 1233 PM CST. The tornado snapped off many hundreds of trees along its path. One warehouse was destroyed, one office was heavily damaged, and one home sustained roof damage. Metal tin from the roof of a shed was thrown at least a half mile down the tornado path.  At least one automobile was damaged and one man was injured. The tornado path length was 8.5 miles long and was 100 yards wide at its widest point.

Begin:	 31.9875/85.4472	End:	 32.0328/85.3122"
200601,13,1300,200601,13,1301,204106,5492612,ALABAMA,1,2006,January  ,Tornado,C,45,DALE,TAE,2006-01-13 13:00:00,EST,2006-01-13 13:01:00,0,0,0,0,500K,,EMERGENCY MANAGER,,,F0,1.0,50.0,,,LEVEL PLAINS XRDS,1.0,NE,LEVEL PLAINS XRDS,31.3,-85.78,31.32,-85.77,,"A severe thunderstorm spawned a weak tornado which heavily damaged four chicken houses.  It also damaged a rental house on the northeast side of Dale County 1.  Debris was strewn across a field east of Dale County 1.  Power lines were down across U.S. Highway 84.  Residents along Joe Bruer Road, northeast of the chicken houses, reported broken limbs.  Reported by the Dale County EMA."
200601,13,1345,200601,13,1345,204105,5492611,ALABAMA,1,2006,January  ,Tornado,C,67,HENRY,TAE,2006-01-13 13:45:00,EST,2006-01-13 13:45:00,0,0,0,0,100K,,EMERGENCY MANAGER,,,F0,0.2,50.0,,,TUMBLETON,,,TUMBLETON,31.4,-85.27,31.4,-85.27,,"A severe thunderstorm spawned a weak tornado which damaged a church parsonage, several barns and farm equipment.  It blew down a road sign and a few trees and power lines near the intersection of County Roads 45 and 13.  Also, five homes were damaged.  Reported by the Henry County EMA."
200601,13,1615,200601,13,1630,204104,5492610,GEORGIA,13,2006,January  ,Tornado,C,71,COLQUITT,TAE,2006-01-13 16:15:00,EST,2006-01-13 16:30:00,1,0,0,0,2M,,TRAINED SPOTTER,,,F1,9.6,100.0,2.0,SE,NORMAN PARK,10.0,NE,NORMAN PARK,31.25,-83.68,31.37,-83.58,,"A tornado touched down along Perry Batts Road near Norman Park and traveled northeast.  It destroyed two chicken houses at the International Poultry Breeders, killing 5,000 chickens and condemning another 15,000.  The tornado sideswiped a restaurant, but snapped off several large pines around the building.  One tree fell through the roof.  A small shelter on the property was destroyed.  Over open fields, several metal sheds were damaged or destroyed, and irrigation pivots were overturned.  Five homes were destroyed, eight received heavy damage, and seven sustained moderate damage.  Many power poles were toppled.  A man suffered scratches to his left arm after part of the ceiling of his mobile home collapsed on him.  The tornado lifted over Lanyer Sumner Road near the Colquitt-Cook county line.  Damage survey provided by a SKYWARN storm spotter."
200601,13,1718,200601,13,1719,202023,5485267,SOUTH CAROLINA,45,2006,January  ,Tornado,C,63,LEXINGTON,CAE,2006-01-13 17:18:00,EST,2006-01-13 17:19:00,0,0,0,0,0,0,BROADCAST MEDIA,,,F0,0.1,40.0,5.0,NW,IRMO,4.0,NW,IRMO,34.13,-81.23,34.13,-81.23,,A waterspout came onshore near Old Forge Point and took down a few trees before dissipating.
200601,13,1719,200601,13,1720,202023,5485268,SOUTH CAROLINA,45,2006,January  ,Tornado,C,79,RICHLAND,CAE,2006-01-13 17:19:00,EST,2006-01-13 17:20:00,0,0,0,0,0,0,GENERAL PUBLIC,,,F0,0.1,40.0,2.0,SW,BALLENTINE,2.0,SW,BALLENTINE,34.1,-811.08,34.1,-811.08,,"A waterspout came onshore near Old Forge Point briefly taking down some trees, then moved across the bay to Marina Road Point and took down a few more trees before dissipating."
200601,13,2000,200601,13,2001,202023,5485269,SOUTH CAROLINA,45,2006,January  ,Tornado,C,9,BAMBERG,CAE,2006-01-13 20:00:00,EST,2006-01-13 20:01:00,0,0,0,0,0,0,LAW ENFORCEMENT,,,F0,0.1,40.0,,,BAMBERG,,,BAMBERG,33.3,-81.03,33.3,-81.03,,Sheriff reported a small tornado touched down on Jay Street and took down a grove of trees.
200601,13,2006,200601,13,2007,204002,5491639,NORTH CAROLINA,37,2006,January  ,Tornado,C,71,GASTON,GSP,2006-01-13 20:06:00,EST,2006-01-13 20:07:00,0,0,0,0,350K,,NWS STORM SURVEY,,,F1,0.5,100.0,4.0,WNW,GASTONIA,4.0,WNW,GASTONIA,35.28,-811.08,35.28,-811.08,,"This small, weak tornado touched down just west of the highway 274/275 intersection in Bessemer City, just north of highway 274 near the Barkers Ridge subdivision. The tornado skirted a mobile home park, where it moved a trailer about 3 feet before moving across Barkers Ridge. The roof was blown off of one unoccupied, newly constructed home. 5 additional homes in the small subdivision received significant exterior damage, and were condemned. Several other homes received minor damage. After leaving the subdivision the tornado appeared to lift briefly as it moved into a wooded area. However, additional damage occurred near the intersection of Jim Clark and JK Road, where most of the tin roof was removed from a barn. In addition, shingles were removed from the roof of a home, and several trees were blown down, one of which fell on an outbuilding. The tornado then blew over a travel trailer before lifting."
