,QUERY,month,day of the month,DAYSAFTERDBSTART,hour,minute,QUERYID,TIMEID,ANONID,MINUTESAFTERMIDNIGHT
145,tube video,may      ,1,61,12,17,3223584,4613467,126010,737
146,tube video,may      ,1,61,12,17,3223584,4613467,126010,737
147,tube video,may      ,1,61,12,17,3223584,4108536,74623,737
148,utada hikaru sanctuary,may      ,9,69,19,53,3256857,6362119,265098,1193
149,albatross 18 tomahawk calculator,may      ,24,84,22,38,3275771,4281835,60904,1358
150,albatross 18 tomahawk calculator,may      ,24,84,22,38,3275771,4281835,60904,1358
151,flashbox music videos,may      ,11,71,15,13,3278511,5420039,457251,913
152,lyrics gimme dat by chris brown,april    ,16,46,9,21,3282835,3851707,452149,561
153,watch strip clubs on video,april    ,6,36,15,55,3289698,4677997,515414,955
154,gerrard in tunnel,april    ,20,50,20,36,3294415,6878789,433051,1236
155,gerrard in tunnel,april    ,20,50,20,36,3294415,6121040,433051,1236
156,6 dances in one minute,may      ,24,84,23,33,3301347,603677,318945,1413
157,boobs tits,march    ,11,10,3,1,3301557,1997976,121098,181
158,alyson stoner interview with dylan and cole sprouse,may      ,2,62,22,55,3311592,5212860,96948,1375
159,gillian sabet,may      ,3,63,20,5,3316806,5507910,574294,1205
160,smack dvd volume 12,march    ,12,11,0,7,3319479,6624696,545994,7
161,stupid girl pink,april    ,25,55,20,29,3320158,5696234,297666,1229
162,www.lifeischange.com,may      ,19,79,16,29,3323089,4759801,330307,989
163,edie sedgewick,march    ,27,26,11,13,3331024,4181271,175607,673
164,dutty wine,may      ,28,88,12,4,3331910,6571943,199671,724
165,dutty wine,may      ,28,88,12,4,3331910,4031953,416,724
166,lexi hurt,may      ,15,75,21,47,3339745,2274487,257683,1307
167,yorkie,march    ,10,9,5,27,3339881,5158270,147071,327
168,bigge freestyle,april    ,9,39,6,13,3342050,5637399,443487,373
169,catherine bell video,april    ,27,57,8,1,3345348,574873,53322,481
170,inuyasha music,may      ,4,64,16,34,3353628,4644768,248235,994
171,brokeback mountain,may      ,20,80,0,25,3353812,3454945,528230,25
172,brokeback mountain,may      ,20,80,0,25,3353812,120077,357552,25
173,the tube,march    ,30,29,11,34,3366331,4106038,199917,694
174,cameltoes,march    ,5,4,20,4,3369367,1598564,288519,1204
175,nba dunk contest,may      ,11,71,11,34,3372293,1701587,365618,694
176,xtribalpulse,may      ,13,73,9,54,3373983,4815551,51375,594
177,www.x men3.com,march    ,18,17,2,13,3375833,4772818,497089,133
178,www.x men3.com,march    ,18,17,2,13,3375833,1140715,497089,133
179,masterbation,april    ,5,35,22,49,3384299,4511409,385512,1369
180,ian rotten vs sick nick mondo 200 light tubes tournament of death,april    ,19,49,10,42,3406845,5094865,373212,642
181,narutrix,march    ,1,0,10,42,3407853,5913711,61205,642
182,narutrix,march    ,1,0,10,42,3407853,1982700,61205,642
183,girl sreet fighters video,march    ,26,25,0,46,3409483,6754451,449538,46
184,buffie the body showing,may      ,7,67,3,35,3409899,5871818,615973,215
185,the wiggle anthony field,march    ,16,15,22,50,3410599,4465001,146882,1370
186,lostprophets rooftops,may      ,6,66,6,58,3410059,545736,334808,418
187,skittles commercial,april    ,19,49,21,1,3415647,3738745,476982,1261
188,fucking teachers,april    ,2,32,7,40,3418575,932192,242590,460
189,gypsy fleetwood mac music video,may      ,29,89,0,10,3421931,663672,176228,10
190,gypsy fleetwood mac music video,may      ,29,89,0,10,3421931,233651,176228,10
191,juicybutts,march    ,4,3,16,37,3422204,6414357,615808,997
192,i pinch honda,may      ,30,90,15,10,3424658,2164150,514318,910
193,aelita's family,march    ,11,10,10,25,3425893,5056606,172414,625
194,stevie nicks landslide video,march    ,13,12,15,2,3430528,3586852,564862,902
195,are farangdingdong girls real,april    ,18,48,4,56,3434065,6218501,420668,296
196,oxnard40,april    ,8,38,14,19,3439803,5187533,643725,859
197,sale and pelletier videos,may      ,6,66,1,31,3454416,921089,58070,91
198,hulkamania manchester,march    ,8,7,11,39,3455395,4383850,286584,699
199,myspace com,march    ,20,19,11,32,3462240,970860,618623,692
200,beatbox,may      ,22,82,1,7,3466334,3719331,199434,67
201,voyage voyage lyric in english,april    ,21,51,1,14,3474475,6707655,37201,74
202,l;yrics for sixteen candels by fob,march    ,9,8,18,17,3475376,1573935,646429,1097
203,oriental women,march    ,16,15,1,43,3493519,796447,551001,103
204,d.n.angel- about riku and daiskue,april    ,24,54,14,8,3493558,6313027,441832,848
205,www.queerty.com,april    ,23,53,14,21,3498913,6864409,440430,861
206,girls fights,march    ,11,10,6,33,3508121,4167979,562707,393
207,girls fights,march    ,11,10,6,33,3508121,4167979,562707,393
208,girls fights,march    ,11,10,6,33,3508121,4167979,562707,393
209,girls fights,march    ,11,10,6,33,3508121,4167979,562707,393
210,girls fights,march    ,11,10,6,33,3508121,4167979,562707,393
211,playing charades games,may      ,9,69,13,59,3508135,4420349,39479,839
212,search.members.yahoo.com,april    ,1,31,14,51,3514577,3994177,535217,891
213,t.i dissing lil flip lyrics,may      ,26,86,6,14,3522588,1819230,163895,374
214,star wars porn,march    ,26,25,9,1,3531932,5408786,236668,541
215,diego y roberta,march    ,19,18,2,33,3533374,1516622,134001,153
216,new websites for kingdom hearts2,april    ,29,59,17,1,3540098,4475634,142081,1021
217,mario theme,april    ,15,45,12,52,3538632,4485939,419060,772
218,listen to i'll be missing you by p.diddy 112 and faith evans,march    ,17,16,7,46,3546063,5458628,376016,466
219,listen to i'll be missing you by p.diddy 112 and faith evans,march    ,17,16,7,46,3546063,5458628,376016,466
220,listen to i'll be missing you by p.diddy 112 and faith evans,march    ,17,16,7,46,3546063,5458628,376016,466
221,the simpsons come to life,march    ,3,2,13,2,3552013,1419608,9036,782
222,sound clip of v6 f150 exhaust,april    ,27,57,9,9,3557375,5724621,160983,549
223,www.nickalodean.com,march    ,17,16,14,38,3555652,924580,576621,878
224,www.nickalodean.com,march    ,17,16,14,38,3555652,924580,576621,878
225,will kagome ever fall in love with koga,march    ,8,7,0,29,3559066,3797018,346277,29
226,will kagome ever fall in love with koga,march    ,8,7,0,29,3559066,3797018,346277,29
227,will kagome ever fall in love with koga,march    ,8,7,0,29,3559066,3797018,346277,29
228,feh video,march    ,7,6,21,3,3559908,6810359,253006,1263
229,power ranger,may      ,19,79,9,4,3577810,312633,448875,544
230,new york vs pumpkin,april    ,26,56,20,18,3577607,1197122,280753,1218
231,new york vs pumpkin,april    ,26,56,20,18,3577607,2512565,280753,1218
232,narnia rap,march    ,20,19,18,51,3578804,5063123,152424,1131
233,narnia rap,march    ,20,19,18,51,3578804,4478859,152424,1131
234,narnia rap,march    ,20,19,18,51,3578804,6291639,299188,1131
235,narnia rap,march    ,20,19,18,51,3578804,6250586,299188,1131
236,poptart commercials,april    ,7,37,8,20,3586970,59615,488615,500
237,poptart commercials,april    ,7,37,8,20,3586970,59615,488615,500
238,reynard silva,march    ,3,2,0,38,3600607,3862370,638397,38
239,young chuck norris,may      ,6,66,14,44,3603178,3347630,530061,884
240,randy orton rko john cena video,may      ,3,63,14,36,3606648,1854104,480594,876
241,kimbo slice vs sean gannon,march    ,7,6,6,40,3606975,4791497,452057,400
242,the real kingdom hearts 2 ending,april    ,6,36,21,7,3609265,347579,541125,1267
243,naked football players,march    ,25,24,16,30,3611611,3980678,507600,990
244,car commercial pinch,may      ,19,79,16,3,3625571,6423311,390150,963
245,action video,april    ,29,59,15,5,3640962,1078873,469205,905
246,the lost prophets rooftops video,march    ,31,30,1,47,3650834,2204165,4422,107
247,barebackfucking.html,march    ,10,9,17,3,3646774,4852063,62966,1023
248,billy jean moon walk,march    ,28,27,9,37,3647101,4343331,621122,577
249,watch not ready to make nice video,march    ,24,23,16,43,3664054,2023851,152196,1003
250,pedo,april    ,8,38,19,41,3666067,6852089,375514,1181
251,pedo,april    ,8,38,19,41,3666067,5538967,591603,1181
252,pedo,april    ,8,38,19,41,3666067,659182,591603,1181
253,nickleback on myspace,april    ,22,52,23,16,3670924,4951989,476690,1396
254,hoopz dates allen iverson,april    ,19,49,14,55,3675894,5746786,362987,895
255,mr bills reality hypnosis shows,may      ,15,75,10,48,3677394,6584257,42292,648
256,mr bills reality hypnosis shows,may      ,15,75,10,48,3677394,6584257,42292,648
257,lyrics to 'i write sins not tradgedies' by panic at the disco,march    ,19,18,8,23,3684765,4359584,547409,503
258,dutty wine music video,march    ,6,5,9,27,3690267,3900944,167204,567
259,dutty wine music video,march    ,6,5,9,27,3690267,3900944,167204,567
260,dutty wine music video,march    ,6,5,9,27,3690267,339036,167204,567
261,dutty wine music video,march    ,6,5,9,27,3690267,339036,167204,567
262,level-c anime to watch online,march    ,11,10,8,30,3697961,562330,256399,510
263,kingdom hearts kairi fucking sora,march    ,8,7,13,22,3701947,2525016,472904,802
264,bolt,april    ,11,41,17,48,3718374,6217004,12562,1068
265,chuck norris,march    ,17,16,0,54,3722059,1215781,171514,54
266,chuck norris,march    ,17,16,0,54,3722059,1215781,171514,54
267,chuck norris,march    ,17,16,0,54,3722059,2239057,20377,54
268,chuck norris,march    ,17,16,0,54,3722059,4955692,127510,54
269,my space,may      ,30,90,9,12,3721939,4395877,14542,552
270,chuck norris,march    ,17,16,0,54,3722059,1587849,214882,54
271,chuck norris,march    ,17,16,0,54,3722059,6367615,469592,54
272,chuck norris,march    ,17,16,0,54,3722059,2934276,170774,54
273,my space,may      ,30,90,9,12,3721939,3249760,36040,552
274,my space,may      ,30,90,9,12,3721939,5626309,246451,552
275,my space,may      ,30,90,9,12,3721939,5619715,560559,552
276,my space,may      ,30,90,9,12,3721939,1284979,5159,552
277,my space,may      ,30,90,9,12,3721939,3440724,470772,552
278,my space,may      ,30,90,9,12,3721939,1898968,333418,552
279,my space,may      ,30,90,9,12,3721939,5498635,333418,552
280,my space,may      ,30,90,9,12,3721939,5498635,333418,552
281,my space,may      ,30,90,9,12,3721939,3165137,317657,552
282,my space,may      ,30,90,9,12,3721939,4453238,160766,552
283,my space,may      ,30,90,9,12,3721939,3425031,429860,552
284,my space,may      ,30,90,9,12,3721939,3425031,429860,552
285,my space,may      ,30,90,9,12,3721939,3730493,331302,552
286,kh2.medianet,april    ,25,55,13,49,3723560,1852179,400449,829
287,why myspace sucks and so do you,april    ,10,40,17,27,3734546,3613892,27297,1047
288,why myspace sucks and so do you,april    ,10,40,17,27,3734546,3613892,27297,1047
289,watch fftl video such a tragedy,march    ,2,1,17,51,3743236,2059930,587909,1071
290,sandra bernhard and madonna,march    ,27,26,16,7,3746943,1430183,555148,967
291,hollyweber,may      ,2,62,23,20,3745885,1547489,296915,1400
292,celebrity penis,may      ,24,84,23,21,3746296,3077495,318785,1401
293,celebrity penis,may      ,24,84,23,21,3746296,68945,318785,1401
294,super mario 64 luigi real,may      ,12,72,6,44,3747982,4180349,377886,404
295,los kumbia kings performing baila esta kumbia,march    ,18,17,8,20,3750821,4872102,442990,500
296,beeny goodman,april    ,6,36,5,17,3757692,5094654,9946,317
297,rory sherrard,march    ,15,14,9,43,3758969,4575953,334808,583
298,bubba the love spunge,may      ,13,73,9,27,3781471,610578,88999,567
299,transformers theme song,april    ,9,39,20,45,3781792,1267304,81929,1245
300,the real silent hill,march    ,6,5,9,41,3792768,6163270,328138,581
301,deaf funny movies,march    ,16,15,10,18,3795394,6822659,55175,618
302,deaf funny movies,march    ,16,15,10,18,3795394,6297458,55175,618
303,circumsize penis,april    ,8,38,16,49,3802644,4385135,236506,1009
304,ciara interview about her new movie,march    ,1,0,12,15,3810017,1959066,177236,735
305,cebu,may      ,26,86,13,33,3810075,6815839,630939,813
306,peanut butter jelly,march    ,4,3,18,54,3815360,3546024,569909,1134
307,the titanic 2,may      ,6,66,14,31,3818794,4827323,431376,871
308,the titanic 2,may      ,6,66,14,31,3818794,4827323,431376,871
309,drinking with ian,may      ,14,74,21,18,3823954,6746630,251701,1278
310,http www.onion booty.com,march    ,23,22,0,11,3833166,6922994,202671,11
311,http www.onion booty.com,march    ,23,22,0,11,3833166,6922994,202671,11
312,halo 3 trailer,april    ,29,59,20,26,3836113,4619366,559406,1226
313,halo 3 trailer,april    ,29,59,20,26,3836113,5393791,291297,1226
314,99 biggie verses,april    ,9,39,14,5,3840452,643713,64625,845
315,oxy cotton music video code,april    ,30,60,21,31,3849841,5656302,119019,1291
316,heather veitch,april    ,19,49,17,20,3845699,3555240,55480,1040
317,naked yoshi,may      ,30,90,11,9,3855200,3406842,103821,669
318,aids awareness animations,may      ,16,76,13,1,3859635,2345352,510805,781
319,sneeze bloopers,may      ,29,89,0,42,3862223,45120,282308,42
320,chat silayan,march    ,4,3,2,35,3865051,176610,260128,155
321,chat silayan,march    ,4,3,2,35,3865051,176610,260128,155
322,loveholic music videos,april    ,18,48,17,5,3868024,6709102,114204,1025
323,theredpage.org,march    ,24,23,1,37,3867322,3214363,273948,97
324,pink im not dead yet,may      ,14,74,20,44,3872063,1584031,230267,1244
325,mighty morphin emo rangers,may      ,29,89,15,33,3873559,3595433,230614,933
326,slumber party massacre 2 soundtrack,march    ,27,26,13,51,3876573,185607,632946,831
327,lyrics to beautiful by kevin sage,march    ,5,4,15,7,3883323,4161014,253789,907
328,nike joga3 futsal,march    ,8,7,10,36,3885689,5171497,52603,636
329,cherry chapstick,april    ,17,47,17,19,3910038,6873507,318256,1039
330,smoking videos,april    ,26,56,13,2,3915422,6657711,127269,782
331,aircraft carrier crash landings,may      ,4,64,2,42,3927280,868707,95595,162
332,tee shirt folding,may      ,10,70,12,50,3927420,1957321,265657,770
333,buffy the body videos and pics,april    ,18,48,18,25,3926354,2235233,53266,1105
334,gravity sticks,may      ,2,62,15,57,3930688,6702244,90050,957
335,2006 marshalls showcase - plushenko,april    ,6,36,18,12,3933961,3078609,541812,1092
336,frogger,april    ,27,57,17,35,3936927,4887580,194,1055
337,proto pm6 matrix videos,april    ,18,48,21,32,3939586,6082622,443015,1292
338,the funniest video,march    ,27,26,11,47,3953688,5265865,573042,707
339,jackson versus liddel video,april    ,16,46,0,8,3954841,3034460,328866,8
340,.b5 in the big bad wolf,march    ,7,6,19,15,3965092,5972663,476982,1155
341,playgirl,april    ,22,52,16,49,3970781,2498976,308831,1009
342,playgirl,april    ,22,52,16,49,3970781,406334,560035,1009
343,watch andy milonakis,march    ,19,18,22,58,3980898,4484738,2339,1378
344,making lockpicks,march    ,2,1,0,29,3986563,5388471,368412,29
345,making lockpicks,march    ,2,1,0,29,3986563,5388471,368412,29
346,flexing muscle boys,april    ,3,33,18,17,3989022,6559551,585481,1097
347,flexing muscle boys,april    ,3,33,18,17,3989022,1330766,585481,1097
348,flexing muscle boys,april    ,3,33,18,17,3989022,1330766,585481,1097
349,wb cartoons pictures,april    ,14,44,7,57,3989067,4638802,358471,477
350,broke back to the future,april    ,22,52,8,30,3987916,1448396,631008,510
351,broke back to the future,april    ,22,52,8,30,3987916,3095736,17121,510
352,reed dollarz,april    ,29,59,19,47,3988034,544730,510112,1187
353,girl makeout videos,may      ,1,61,10,30,3991110,865718,627152,630
354,weird al anime,april    ,14,44,17,59,3989549,130336,249272,1079
355,hulk hogan arby's,may      ,9,69,1,52,3993985,6337487,464598,112
356,identity theft commercial video,may      ,15,75,18,18,3998193,5952788,211247,1098
357,dear mr. president,april    ,28,58,19,47,4005654,3987188,638303,1187
358,yourtube com,april    ,21,51,21,2,4001676,2086095,477478,1262
359,princess tutu,march    ,20,19,13,41,4011087,3018548,441832,821
360,princess tutu,march    ,20,19,13,41,4011087,1248221,441832,821
361,animated tags,may      ,10,70,8,36,4018554,4859180,618623,516
362,robot moves,may      ,20,80,8,56,4024187,598178,488526,536
363,robot moves,may      ,20,80,8,56,4024187,2765970,488526,536
364,danzig mother,march    ,12,11,0,53,4028481,531964,159946,53
365,pokemon theme music video,april    ,2,32,22,48,4031203,6641876,504448,1368
366,bling bling the crackhead,may      ,8,68,9,36,4031085,6238101,290645,576
367,young joc its going down video,may      ,28,88,22,58,4033467,1226407,193784,1378
368,tnawrestling,may      ,6,66,1,55,4033813,5843735,485231,115
369,battlefield 2142,march    ,1,0,8,33,4032996,1089828,276272,513
370,battlefield 2142,march    ,1,0,8,33,4032996,6640344,276272,513
371,battlefield 2142,march    ,1,0,8,33,4032996,1145176,285627,513
372,wetback mountain clip by carlos mencia,april    ,14,44,21,53,4035941,3569414,589963,1313
373,free amerie touch touch this remix mp3 download,april    ,28,58,23,19,4037751,1286866,643890,1399
374,wind beneath my wings,march    ,6,5,2,44,4040428,774228,121078,164
375,inuasha porn,may      ,2,62,4,2,4038974,1262767,43332,242
376,sex clip,may      ,25,85,9,9,4039028,114328,575611,549
377,biography andy milinokis,april    ,26,56,16,35,4041673,3397253,456397,995
378,scooter stunts,april    ,26,56,8,29,4044074,6629428,261688,509
379,something blue,march    ,29,28,12,5,4055696,730238,529771,725
380,real hypnotic inductions,may      ,30,90,20,3,4062642,540469,42292,1203
381,real hypnotic inductions,may      ,30,90,20,3,4062642,540469,42292,1203
382,drunken boxing,april    ,13,43,10,7,4069142,2367443,210726,607
383,astrogirl11612,april    ,27,57,20,17,4078441,5993530,554238,1217
384,astrogirl11612,april    ,27,57,20,17,4078441,2978148,554238,1217
385,sean spoilers in degrassi season six,march    ,22,21,22,41,4079413,5843658,255114,1361
386,nalgas,march    ,11,10,8,25,4079472,683030,54152,505
387,mantis v.s mantis,may      ,27,87,1,31,4083238,1446151,163228,91
