Title	Video ID	Published At	Description	View Count	Like Count	View-Like-Ratio
Band of Horses - The Funeral [OFFICIAL VIDEO]	cMFWFhTFohk	2006-04-06T23:16:11Z	Subscribe to Sub Pop https://www.youtube.com/c/subpop/?sub_confirmation=1 The Funeral from the Band of Horses 3/21/06 ...	52237503	525707	0.01006378502
frog kick	z4OmRsiZGMg	2006-03-04T00:34:44Z	New BOBO GRIMM: https://www.youtube.com/watch?v=_e9aemyir3c.	51256086	41829	0.0008160786994
Epica - Cry For The Moon	Dys1_TuUmI4	2006-04-16T00:07:12Z		47359049	291373	0.006152425062
White Town - Your Woman (Official HD Video)	lVL-zZnD3VU	2006-05-16T13:08:03Z	My new album, Philogrammetry - https://songwhip.com/white-town/philogrammetry HALLOO AND WELCOME YELLOWJACKETS ...	41910333	511059	0.01219410497
Johnny Hates Jazz - Shattered Dreams (UK Version)	cX-8MHKuQ5I	2006-05-02T10:55:43Z	Shattered Dreams is no doubt my most favoured song from JHJ. This video is the UK made coloured version. There is also ...	38501251	201510	0.005233855908
BASSHUNTER Boten Anna -  (The original 2006 Swedish version/ video for Now Your Gone)	RYQUsp-jxDQ	2006-05-25T13:09:38Z	JOIN BASSHUNTER ON FACEBOOK http://www.facebook.com/Basshunter.se Boten Anna www.basshunter.se This is how the ...	37583166	95264	0.002534751862
8 Minute Abs	sWjTnBmCHTY	2006-03-02T19:24:47Z	https://tinyurl.com/8min-abs Tropical Loophole Dissolves Fat! The Best Way To Get Six Pack Abs. Windsor Pilates 8 Minute Abs ...	36314831	63690	0.001753828897
Colors of the Wind	TkV-of_eN2w	2006-04-20T02:48:48Z	Colors of the Wind from Pocahontas.	32994260	110001	0.00333394354
Statue of Liability	-BE6GyHcASE	2006-05-12T12:11:39Z	Statue of Liability Music is Fernando by Abba The more recent sequel 'Statue of Liability Serenade' is now past 100000 views but ...	32796154	1006780	0.03069811174
Cambodian Karaoke Tom Teav 12	blu_szHyPYs	2006-03-30T11:43:05Z	khmer yike.	29002677	153857	0.005304924094
Rigoletto La Dona e mobile	8A3zetSuYRg	2006-04-11T12:36:13Z	Jean-Pierre Ponnelle's classic film of Verdi's dark tragedy features the legendary Luciano Pavarotti as the dashing Duke of ...	28463322	203811	0.007160478317
Azucar Moreno - Solo se vive una vez	LxrUkFQHYpg	2006-04-10T03:13:11Z	Tema extraido de su CD Esclava de tu piel (1996)	28411731	103231	0.003633393544
Miguel Gallardo - Otro ocupa mi lugar	304acT2Jk6U	2006-04-29T15:53:35Z	Miguel Gallardo - Otro ocupa mi lugar - live!	26913349	38005	0.001412124519
Straight No Chaser - The 12 Days of Christmas (original from 1998)	2Fe11OlMiz8	2006-04-25T19:25:09Z	Straight No Chaser performs their unique 12 Days of Christmas for the first time, on December 7th, 1998, in the Musical Arts ...	25843094	130300	0.00504196595
Down low - Johnny B	Q7ZO8mM4Vfw	2006-03-04T09:23:08Z	an old video...	24216404	129149	0.005333120475
U2 - One	JFWPeVfWB9o	2006-04-05T19:53:36Z		23945553	61205	0.002556006955
A is for Allah by Yusuf Islam (Cat Stevens)	-L-GOHa5-YQ	2006-05-27T12:01:23Z	This was recorded for his baby daughter to teach her the arabic alphabet SUBSCRIBE: ...	22585202	75584	0.003346616072
Scary Movie 4 Trailer	h0zAlXr1UOs	2006-03-13T19:16:50Z	What do you get when you mix fearless comedic genius with the latest box-office blockbusters? You guessed it. On April 14th, the ...	21786947	19160	0.0008794256488
White Boy Rips it at the Apollo	nNIi_sEsjgY	2006-04-26T12:38:13Z	White Boy Rips it at the Apollo. This is the comedian DC Benny ripping it on Showtime at the Apollo. In the world of New York ...	20759799	108138	0.005209009972
Richard Marx - Angelia	FujIQkKH15w	2006-04-29T14:11:07Z	Mi favorita de Richard marx.	20586128	74007	0.003594993677
Teddy Afro - Lambadina	wxV-n9iSkEs	2006-03-26T18:06:29Z	Teddy Afro - Lambadina Download ArifZefen (by ArifSoft) on your iphone for free to get the latest and hottest Amharic songs...	19498094	69065	0.003542141093
Mecano - Aire	kWnFwZeM6Sw	2006-04-10T21:19:15Z	Videoclip de directo de mecano , aire , Mecano live : Aire	18908501	50515	0.002671549691
Alizee Ella, Elle l'a 2003 tribute to France Gall!	Ik5Nh94v7EQ	2006-05-15T21:37:57Z	twins, beach, sun, fun: https://www.youtube.com/watch?v=fVCah0nBmtU Ella, Elle L'A (Spéciale France Gall - France 2) on March ...	18786940	42627	0.002268969827
Modern Talking - 100 Years	5hVq3vSKOiU	2006-04-06T00:32:40Z	The BEST Modern Talking song released.	17518869	51148	0.002919594867
Love Will Find A Way - The Lion King 2	5XhufW7-c_k	2006-05-01T05:04:34Z	For a smoother video, check the Remastered version on my channel. The love song between Kovu and Kiara in The Lion King 2: ...	16882198	77798	0.004608286196
Assassin's Creed	cc-ClutaN_I	2006-05-15T00:46:24Z	The new trailer for Assassin's Creed.	16056146	35027	0.002181532231
Brian May - Love Of My Life	w1ydSXHsc9Y	2006-05-28T18:22:04Z	From the Queen + PR tour in 2005.	15948309	184784	0.01158643214
Ippo vs. Kimura, Aoki, Takamura	Hpw3ItaYac0	2006-04-18T09:21:19Z	Ippo shows his guts as he takes on Kimura, Aoki, and the monster Takamura in arm wrestling. This is from the Champion Road ...	15628725	106744	0.006829987731
Pocahontas - If I Never Knew You	KiuBw_kj1-U	2006-05-01T05:43:07Z	The song NOT included in the theatrical release of the film, If I Never Knew You, though put into the release of the 10th ...	15507088	78760	0.00507896776
Mario & Nesty - Never Say Goodbye	wnVe2i2ZoXA	2006-04-23T14:16:03Z	FOR DOWNLOADING: http://www.4shared.com/file/11362876/30cba490/MP3_Never_Say_ Goodbye_-_Mario_My_Girl_OST.html ...	15292419	83733	0.005475458134
Steve Martin & Earl Scruggs -  Foggy Mountain Breakdown	rrlqQ1_vZVE	2006-05-17T06:36:58Z	the best instrumental bluegrass song ever done!!	15241880	74172	0.004866328826
UB40-kingston town	R-mj1GvibTM	2006-03-05T21:17:06Z	http://www.tucaminoalalibertad.com/ http://es-la.facebook.com/people/Tu-Camino-Ala-Libertad/100000042732128 Imagenes ...	15196350	61016	0.004015174697
Iverson Practice!	eGDBR2L5kzI	2006-04-15T16:46:10Z	Allen Iverson says practive 20 times in a press conference. One for the ages.	14955428	86904	0.005810866797
Full Moon Wo Sagashite - Eternal Snow	K4UOo-E2Auw	2006-03-04T11:15:31Z	A Full Moon Wo Sagashite video clip made by me, hope you like it Warning!! Spoiler!!	14948473	107967	0.007222610631
MIG - Co ty mi dasz	EDrOriKrV3g	2006-05-21T21:11:34Z	Great polish band :P:P.	14548605	47176	0.003242647663
Int'o Rione	nXZDRkDx-Q8	2006-03-31T23:20:58Z	Finally out the video-documentary Int'o Rione. Realness from Naples.	13963192	83387	0.005971915304
Castlevania II: Simon's Quest (NES) - Angry Video Game Nerd (AVGN)	V4we8iFk-fY	2006-04-08T20:02:25Z	The Nerd makes his first ever game review, and tries to tackle Castlevania II: Simon's Quest for the NES, revealing the many flaws ...	13237901	113131	0.008545992299
Nine Inch Nails - Something I can never have (still)	UEW8riKU_tE	2006-04-05T21:17:17Z	I love this studio performance...beautiful!	13195054	103370	0.007833995981
Pink Floyd - Goodbye Blue Sky	_0v07InoFiU	2006-03-04T16:34:08Z	Video for Goodbye Blue Sky.	13173279	36595	0.002777971984
Grup Tekkan - Wo bist du, Mein Sonnenlicht (Studio Version)	Mue6Vc_T9Ds	2006-03-30T18:38:14Z	CD überall wo es Musik zu kaufen gibt ...	12943883	131451	0.01015545335
U2 One Live	xh-ACkYmdc4	2006-04-18T15:55:39Z	U2 - One Vertigo Tour New Year´s Day: http://www.youtube.com/watch?v=BoAChL_scxA Original of the Species: ...	12780511	34209	0.002676653539
south park &harry potter	Z8mvrFHcgsc	2006-04-02T21:36:46Z	this is harry potter with south park voice overs really funny. ;) viewer descrestion advised for language.	12736522	37352	0.002932668746
Kartier Si te vas	aLt2OArNtRU	2006-05-11T14:30:16Z	APOYA!!! : https://open.spotify.com/album/2s7W28Fy0Rc9fYy1K80MJL Yo Tengo El Ki ⚡ - Rafa carter ❌ Arinson El Faber ( Video ...	12577790	71586	0.005691460901
kmouch dem jak1_3	L-GCxOdX670	2006-05-02T03:45:56Z	kmouch dem jak1_3.	12461619	58673	0.004708296731
She's a witch!	zrzMhU_4m-g	2006-03-14T02:48:15Z	Monty Python and the Holy Grail... :D.	12336872	102224	0.008286055006
Lil Romeo - U Can't Shine Like Me (Bow Wow diss)	r3-3GX01Nno	2006-04-26T01:11:35Z	Music video from Lil Romeo. This was a diss to Bow Wow.	12323587	42130	0.003418647509
Lea Salonga's Audition for Miss Saigon	sy-A-wyzj7c	2006-04-05T15:10:26Z	Lea Salonga's Audition for Miss Saigon. With Claude-Michel Schonberg on piano and Nicholas Hytner, Cameron Mackintosh, ...	12323251	114848	0.009319618662
Steve Jobs Stanford Commencement Speech 2005	D1R-jKKp3NA	2006-03-06T23:46:53Z	Here we see Steve Jobs delivering his commencement speech to the graduates of Stanford University in 2005. In it he talks about ...	12282788	75817	0.006172621395
Rammstein - Feuer Frei	qxUZUnRwH7s	2006-05-10T02:27:28Z	A tribute to Rammstein, in Lego. Thanks to everyone for the support. I never expected the video to reach such popularity.	12262306	51105	0.004167650033
Gaitan Castro - Amor amor	FtBwC6IHpSw	2006-03-01T18:43:43Z	Gaitan Castro - Amor amor.	12046290	23326	0.00193636381
Stachursky - Typ niepokorny	CWMsGYOTnuU	2006-05-01T18:58:23Z	The video music of Typ niepokorny (The rebel-type) by Stachursky, a well-known Polish singer.	11860620	33250	0.002803394764
Chet Atkins - Mr. Sandman (TV 1954)	n-c66SJPuUI	2006-04-04T04:08:14Z	in concert.	11827315	146196	0.01236087819
Maná - Eres mi Religión (con Zucchero)	IIUv0S7d_x0	2006-05-02T04:24:48Z	Maná y Zucchero / Eres mi Religión. Tour Revolución de Amor.	11607343	28996	0.002498073849
Coma - Leszek Zukowski	B8yz5la6PG4	2006-04-05T15:28:53Z	Song of Polish Rock Band.	11452396	40818	0.003564145005
Gianna Nannini - Bello e impossibile	xoco58gF8h0	2006-05-31T22:40:18Z	Music video by Gianna Nannini performing Bello e impossibile. (C) 1986 Charing Cross Records Ltd.	11270974	24491	0.00217292667
Linkin Park - Live At Rock Am Ring 2004 - In The End	g0YTa_15R3U	2006-05-09T14:15:40Z	linkin park video.	11072221	47651	0.00430365326
Asalah - Mab2ash Ana أصالة - مبقاش أنا	ERHF2owgCw8	2006-03-25T15:01:18Z	God help a man who scorns a woman in love.	10990691	44260	0.004027044341
Hier kommt Kurt - Frank Zander - Das Video	BrPcg8y2-5E	2006-05-31T11:36:16Z	http://smarturl.it/hierkommtkurt Alle Frank Zander Links: https://linktr.ee/frankzander Das Video zum Kulthit: Hier kommt Kurt von ...	10673741	66579	0.006237644327
Suzi Quatro - Can The Can	7SXWgC0SLCA	2006-04-05T22:00:31Z	performance video of Can The Can.	10651121	53833	0.005054209787
C2C - DMC DJ team World Champions 2005 set @C2Cdjs (Album Now Available)	iP-86de-oUA	2006-05-16T18:25:23Z	TETR4 Album here : https://OnAndOnRecords.lnk.to/TETR4 2xLP Vinyl Edition : http://www.onandon-records.com/en/7-all ...	10376712	51831	0.004994934812
Tic Tac Toe - Ich Find Dich Scheisse	P7HyGa2YFg4	2006-05-12T02:22:28Z	From their 1996 self-titled album.	9992694	53648	0.005368722389
bed of roses / Bon Jovi	FVvTu1yKLWU	2006-05-22T11:37:40Z	an evening with Bon jovi 1992.	9879249	18123	0.001834451181
DJ Tiesto ft. Kane - Rain Down On Me	ErW9EJvlYOk	2006-03-26T06:22:23Z	DJ Tiesto ft. Kane - Rain Down On Me.	9705649	14878	0.001532921704
System of a Down-Cigaro (Live at BDO)	gVPsT0Mx6bY	2006-04-12T17:10:27Z	System of a Down performing Cigaro live at Big Day Out 2005.	9237412	41993	0.004545970235
LOVER [You Dont Treat Me No Good No More]	D9WH8AfakFs	2006-04-21T17:48:58Z	The Original Song & Original Video from Sonia Dada visit our website at www.soniadada.com.	9182404	N/A	#VALUE!
dhoka khola na	5kbFE3rt42U	2006-04-30T19:48:46Z	dhoka khola na by naarad khatiwada comedic music video.	8922106	118032	0.01322916361
Ryan vs Dorkman	8NE5elL30w4	2006-03-14T14:41:51Z	RYAN WIEBER VS. MICHAEL DORKMAN SCOTT What began as a friendly rivalry between two effects artists explodes off ...	8811939	58688	0.006660055182
Mary Poppins	U3zAbQ0aMK8	2006-03-10T17:30:15Z	I love love her! :)	8530074	23345	0.002736787512
Asalah - Tasawar أصالة - تصور	D8YuRWCnzeY	2006-03-25T17:06:55Z	Asalah is fast and furious ... in love!	8408202	38305	0.004555670761
Transformers Theme	ut5fFyTkKv4	2006-03-22T19:52:29Z	And now the Transformers Theme song has it's own music video... Watch this video in higher quality, download video/MP3, and ...	8296233	43242	0.005212245124
Elliott Smith Miss Misery	zH8-lQ9CeyI	2006-03-09T20:09:56Z	Elliott Smith's Miss Misery Directors cut with no Good Will Hunting stuff. Directed by Ross Harris.	8009224	43730	0.005459954672
Gorillaz - Deltron Zero	HtCZ3ZyT8P4	2006-04-06T15:54:45Z	Important Notice: Due to the comments related to this video I would let you know that this isn't an official video, It's a video made by ...	7993827	15473	0.001935618572
Yara - Severina	ehf4AdpHXhg	2006-05-26T16:57:10Z	Salaque Jalk'a.	7934193	31138	0.003924532716
Dr. Hook-Baby Makes Her Blue Jeans Talk	7iYpboTjtoQ	2006-05-22T18:27:23Z	Catchy 80s sweet smarmyness from Dr. Hook. This tune is taken from their Casablanca album Players In The Dark. Enjoy!!!	7905896	29287	0.003704450451
Tommy Emmanuel - Angelina	AhR04kmcSXU	2006-03-07T06:42:06Z	Tommy Emmanuel playing Angelina on KBS1(TV Channel in Korea) before his concert in Korea :) Video Source: ...	7800115	25170	0.003226875501
Wont Get Fooled Again	Rp6-wG5LLqE	2006-04-08T00:13:35Z	From The Kids Are Alright.	7770085	31586	0.004065077795
Shoes	3HjIljJd-o0	2006-05-05T16:51:22Z	This is the Shoes video without the skit at the beginning. Get the song on Apple Music: ...	7724804	72719	0.009413701629
The Rasmus - Shot (Official Music Video)	b6L42fF7MI4	2006-03-28T13:46:08Z	Taken from the album Hide from the Sun (2005) ▶️ Stream / Download: https://therasmus.ffm.to/hidefromthesun_bonus ...	7490306	42618	0.005689754197
Thin lizzy - Dancing in the moonlight	Unnh0T2Ftro	2006-03-21T21:45:00Z	Dancing in the moonlight videoclip.	7481194	32389	0.004329389132
Henry and Fabregas legendary Interview	_wF87vHYDjc	2006-04-05T15:34:08Z	Henry doing what a captain should do ;)	7279910	15954	0.002191510609
Wolfsheim - Once in a Lifetime	WkGGi_uUaPc	2006-03-19T21:54:50Z	Synthpop act Wolfsheim - Once in a Lifetime music video from Spectators album. Directed by Iwie Candy X07. Official bandpage: ...	7064696	28165	0.003986724977
Borat - Dating Service Skit	S7vWi8sosg4	2006-03-04T08:57:25Z	Ali G - Borat - Dating Service Skit.	7021168	47241	0.006728367702
The Pill	A7HKejQXljo	2006-04-24T12:55:40Z	Pac Man goes looking for the power pill only to discover a dubious drug store with a rastafari owner. A short animated film by Roy ...	6992604	93701	0.01340001522
Eddsworld - Tord's Adventure	VdNRqOMaH68	2006-03-18T14:49:51Z	Tord heads to London to visit his best friend! Written and Animated by Edd 'Eddsworld' Gould (http://youtube.com/eddsworld) ...	6972504	157791	0.02263046389
DEATHSTARS - Cyanide (OFFICIAL MUSIC VIDEO)	Ly-jMFFjIbM	2006-05-12T12:39:17Z	Official music video for Deathstars track Cyanide. Order at: http://smarturl.it/DTHSTRS-TB-NB Subscribe to Deathstars: ...	6942104	41172	0.005930766811
Parry Gripp  Do You Like Waffles? [Official Video]	UtlaTNI1TaU	2006-03-24T00:03:06Z	Get your Parry Gripp music and merchandise at http://www.parrygripp.biz! On iTunes and Amazon from the official label, Oglio ...	6929726	39403	0.005686083404
Iron & Wine - Naked as We Came [OFFICIAL VIDEO]	Nd-A-iiPoLg	2006-04-07T21:41:35Z	Our Endless Numbered Days (Release Date: 3/23/04) iTunes ...	6816102	24175	0.003546748567
James Brown Drunk (Full Version)	9tfNhL_R_rI	2006-04-02T08:17:35Z	James Brown drunk out of his mind on a TV show...	6666086	12687	0.00190321577
Jesus Christ Superstar (1973) - Everything's Alright	jkje4FiH9Qc	2006-03-18T17:05:32Z	Andrew Lloyd Webber's classical opera - Jesus Christ Superstar (1973 Version)	6640601	29086	0.004380025242
Disturbed - Fade to black (Metallica cover)	y2vMVR7ntWc	2006-03-23T20:28:42Z	Same as the title! Disturbed covering Metallica's fade to black. The end is missing because that's what happened when whoever ...	6602315	37569	0.00569027682
Teddy Afro - Nigeregn Kalshign	PIue-8AxOp4	2006-03-26T18:06:42Z	Teddy Afro - Nigeregn Kalshign.	6584726	19177	0.002912345935
Tricky - Evolution Revolution Love	lWIeVTs94rI	2006-05-06T18:50:26Z	Music video by the trip-hop star Tricky.	6575869	38057	0.005787371981
Cows With Guns - The Original Animation	FQMbXvn2RNI	2006-05-30T20:10:50Z	http://Www.twitch.tv/craddoco Song By Dana Lyons Animation by Bjorn-Mange Stuestol All credit to them, links to their sites at the ...	6486346	67622	0.01042528413
Pink Panther -  I Would like to buy a Hamburger	lz0IT4Uk2xQ	2006-04-18T04:04:15Z	I Would like to buy a Hamburger.	6457723	35033	0.005424977194
ali g interviews noam chomsky	fOIM1_xOSro	2006-04-06T01:49:30Z	title is self-explanatory.	6451617	53261	0.008255449758
David Castro & America Brass - Luna Amiga	oMxEh3-IazI	2006-05-15T16:48:22Z	Cumbia - From the movie soundtrack Sena Quina	6264194	21785	0.003477702
Marc Terenz - Love To Be Loved By You	G2WJ6AXnM3Q	2006-04-23T03:46:41Z	Marc Terenzi Love To Be Loved By You lyrics I can't believe I'm standing here Been waiting for so many years and Today I found ...	6109064	24848	0.004067398868
Where's the Beef?	Ug75diEyiA0	2006-05-12T18:07:43Z	Where's the Beef?	6085762	21188	0.003481568947
Brian Hyland - Sealed with a kiss 1962	xIkUiD8N81k	2006-03-16T16:55:36Z	Sealed with a kiss. Written by Gary Geld and Peter Udell. First recorded by the Four Voices in 1960. Made a hit by Brian Hyland in ...	6070614	28517	0.004697547892
Jim Carrey - I belive I can fly	jNH2iF5AQmE	2006-03-23T19:07:57Z	Beautiful.	5992070	24773	0.004134297497
AMORPHIS - House Of Sleep (Official Music Video)	CleR2nYASdo	2006-05-12T14:31:11Z	Taken off the album Eclipse ▷ FOLLOW @REIGNING PHOENIX MUSIC EU: https://shopeu.reigningphoenixmusic.com ...	5973322	35613	0.00596200908
Red Hot Chili Peppers  Brandy	EMzA0g28Ue4	2006-03-20T19:00:04Z	Red Hot Chili Peppers.	5930241	16261	0.002742047077
GOTTHARD - Anytime Anywhere (OFFICIAL MUSIC VIDEO)	XafGVomdWp8	2006-05-15T16:41:37Z	Official music video for Gotthard's Anytime Anywhere. Order at: http://smarturl.it/GH-LS-NB SUBSCRIBE to NUCLEAR BLAST: ...	5865371	25657	0.004374318351
Chopin, Nocturne, opus 27 #2, piano solo	asDXpfFMKNA	2006-03-05T00:49:01Z	Nocturne by Frédéric Chopin, opus 27, number 2, accompanied by an animated graphic showing interval type. FAQ Q: I ...	5840922	9159	0.001568074355
Como me acuerdo	1_rp22QCn1o	2006-03-05T02:00:00Z	Draco Rosa.	5822928	22607	0.003882411048
The Karate Kid (NES) - Angry Video Game Nerd (AVGN)	9DfdRdOM_B0	2006-04-08T20:06:42Z	The Nerd tries out his best moves, as he sees if The Karate Kid for the NES is as any good as the movie it is based on. This is ...	5785009	40325	0.006970602812
Small Talk	XiH7pkCObdA	2006-04-19T01:43:16Z	and you thought your office was uncomfortable... When a co-worker returns from her vacation in Brazil, she looks great.	5774842	16462	0.002850640762
John Mayer - Neon (acoustic)	AzsEzD2fVwE	2006-05-29T02:17:02Z	John Mayer playing a solo acoustic version of Neon, at the Soundstage concert on July 14th, 2005. AMAZING solo in the middle of ...	5566009	13654	0.00245310419
World of Warcraft- Here Without You	Fb5LIo6HE6Y	2006-03-11T20:26:11Z	Didn't make this one, got it off of Fileplanet. A really good video, I'm surprised it's not here. It's by a guy called Dimoroc, according ...	5535029	42427	0.007665181158
Jamie Kennedy onstage ripping a heckler	ITBfwhp8XMY	2006-03-27T20:20:16Z	Jamie Kennedy owns this heckler who interrupts his stand-up show.	5495878	12589	0.002290625811
Dr. Jekyll and Mr. Hyde (NES) - Angry Video Game Nerd (AVGN)	6M_4Yqk65f8	2006-04-08T16:54:52Z	The Nerd takes on reviewing the extremely difficult Dr. Jekyll and Mr. Hyde for the NES, in which even the first level is almost ...	5437017	60875	0.01119639685
Gomu gomu no	QoRJMMGsI50	2006-04-10T18:24:45Z	Tako hanabi!!!!!!	5422185	65297	0.01204256218
Social Distortion Don't Take Me for Granted	PdZb2inh4YM	2006-05-10T06:36:02Z		5326468	19496	0.003660211607
marky-mark happy people	v8EX3hnWDtw	2006-03-08T01:35:32Z	video clip.	5223937	9300	0.001780266492
DIMMU BORGIR - Sorgens Kammer - Del II (OFFICIAL MUSIC VIDEO)	-gt7YWwOmRo	2006-05-15T09:55:48Z	Official music video - Dimmu Borgir's Sorgens Kammer Del II. Order at: http://smarturl.it/DB-STRM-NB Subscribe to Nuclear Blast: ...	5203005	28691	0.005514313363
Shaq curses on TV (uncensored)	k-BoeBedZ3k	2006-04-12T09:26:50Z	After beating Toronto by one point back in 03-04 with the Lakers Shaq takes his frustration out on a reporter.	5152663	20472	0.003973091196
re: Your Brains	BjMiDZIY1bM	2006-05-18T04:08:32Z	This is a music video for the Jonathan Coulton song re: Your Brains. Jonathan Coulton is a singer/songwriter who releases his ...	5130436	23332	0.004547761633
Aladdin's Execution	UKO4pptonZE	2006-05-14T05:23:19Z	From The Return of Jafar.	4970066	14155	0.00284805071
Spirited Away Trailer	6az9wGfeSgM	2006-03-23T07:33:52Z	Disney's trailer for the Studio Ghibli film, Spirited Away, that came out during the 2002 American release. UPDATE: Many people ...	4943777	15140	0.003062435866
Brave Little Toaster - Worthless	-UfsEj7AOGI	2006-05-29T02:24:25Z	One of my favorite songs from the Brave Little Toaster. I can't take this kinda pressure I must confess one more dusty road Would ...	4859824	49805	0.01024831352
EDGUY - Superheroes (OFFICIAL MUSIC VIDEO)	a-hG4l2gs-A	2006-05-15T11:17:52Z	Official music video for Edguy's Superheroes. Order at: http://smarturl.it/EDG-RR-NB SUBSCRIBE to EDGUY: ...	4748823	21269	0.004478794009
Who Framed Roger Rabbit (NES) - Angry Video Game Nerd (AVGN)	l-6WakV0kWM	2006-04-24T22:32:14Z	The Nerd wonders if someone framed him to tackle a bad video game, as he takes on the NES game based on Who Framed ...	4703187	29774	0.006330600931
Twilight Zone intro.	NzlG28B-R8Y	2006-03-19T22:08:02Z	Classic Twilight Zone TV Show Intro. Click below for original video: http://www.distantcreations.com/twilightzone.html.	4586302	15593	0.00339990694
Kraftwerk - Die Roboter	wHEoMpMvz7A	2006-03-29T20:25:36Z	Kraftwerk - Die Roboter (Rockpop, German TV ZDF, 1978)	4525834	31852	0.007037818886
claudine barretto wedding...	5Ng8fb5MpSM	2006-04-15T06:13:31Z	clau-clau's wedding.	4482337	6368	0.001420687467
Bauhaus - Bela Lugosi's Dead	zq7xyjU-jsU	2006-05-09T02:54:48Z	Video for Bauhaus' Bela Lugosi's Dead.	4464265	22304	0.004996119182
Shaman - Carry On	nkmuqq4TBQ8	2006-03-01T17:24:34Z	Shaman playing carry on.	4415987	44625	0.01010532866
Angela Anaconda	utgXR6k-P1s	2006-03-26T05:15:59Z	Angela Anaconda RULES.	4373522	12108	0.002768478128
Robbie Robertson, Shine Your Light (Ladder 49)	405rURIgvDw	2006-03-25T15:28:14Z	Music video for the song Shine Your Light by Robbie Robertson From the movie Ladder 49.	4259798	18789	0.00441077253
Entourage - Ari Gold's Best THE ORIGINAL (By Louididdy)	TGTJSorTQvw	2006-04-28T15:15:46Z	A collection of some of Ari Gold's best moments from the first 2 seasons of Entourage. I did not include his showdown with ...	4226240	9338	0.002209529038
Coyote Ugly trailer	2lqWOOHOwlE	2006-04-23T01:33:38Z	Starring: Piper Perabo, Adam Garcia and Maria Bello. Special Appearence by Tyra Banks. Nice movie, Cool Soundtrack!	4095604	4165	0.001016944021
Singing Melody - Want You Back	HmQbk5Zlmdk	2006-04-15T21:25:43Z	Singing Melody Want You Back music video.	4022832	26365	0.006553840677
Eddsworld - Tom's Tales Of Awesome	E_cBajja2po	2006-05-25T19:13:53Z	Lemons and pennies and chairs! Oh my! Animated by Edd 'Eddsworld' Gould (http://youtube.com/eddsworld) Written and Voiced ...	4017857	74056	0.01843171621
Fear Factory - Archetype	V1reT2HESYw	2006-05-25T09:10:30Z	A self-made video for the film Equilibrium, set to Fear Factory's Archetype.	4000588	14937	0.003733701146
Anchorman-Afternoon Delight	eplbDbp6XJQ	2006-05-16T19:30:05Z	If you dont think this is the best song ever.....I will fight you.	3881731	19815	0.005104681391
NNBek - Kyzdar-ay (Кыздар ай)	Zg1vcUU2jIY	2006-04-25T13:00:18Z	Kazakhstan kizdar-ai kyzdar-ai.	3834059	27702	0.007225240926
Cindrella	s_bCm5iN77s	2006-05-13T18:22:51Z	they're cute huh!	3777513	22630	0.005990713996
Ask A Ninja - Question 16 How To Kill A Ninja	IR68W56DCBU	2006-03-25T05:42:56Z	Rude Randy asks how do you kill a ninja? Subscribe to the video podcast at http://askaninja.com. !!!Get the Ask A Ninja Theme ...	3757124	17636	0.004694015955
Best Buy	utkkXCF8ZVc	2006-05-01T07:34:15Z	80 Improv Everywhere Agents infiltrate a Best Buy, dressed like employees. Higher Quality Version: ...	3712766	8534	0.002298555848
